customerID,gender
7590-VHVEG,Female
5575-GNVDE,Male
3668-QPYBK,Male
7795-CFOCW,Male
9237-HQITU,Female
9305-CDSKC,Female
1452-KIOVK,Male
6713-OKOMC,Female
7892-POOKP,Female
6388-TABGU,Male
9763-GRSKD,Male
7469-LKBCI,Male
8091-TTVAX,Male
0280-XJGEX,Male
5129-JLPIS,Male
3655-SNQYZ,Female
8191-XWSZG,Female
9959-WOFKT,Male
4190-MFLUW,Female
4183-MYFRB,Female
8779-QRDMV,Male
1680-VDCWW,Male
1066-JKSGK,Male
3638-WEABW,Female
6322-HRPFA,Male
6865-JZNKO,Female
6467-CHFZW,Male
8665-UTDHZ,Male
5248-YGIJN,Male
8773-HHUOZ,Female
3841-NFECX,Female
4929-XIHVW,Male
6827-IEAUQ,Female
7310-EGVHZ,Male
3413-BMNZE,Male
6234-RAAPL,Female
6047-YHPVI,Male
6572-ADKRS,Female
5380-WJKOV,Male
8168-UQWWF,Female
8865-TNMNX,Male
9489-DEDVP,Female
9867-JCZSP,Female
4671-VJLCL,Female
4080-IIARD,Female
3714-NTNFO,Female
5948-UJZLF,Male
7760-OYPDY,Female
7639-LIAYI,Male
2954-PIBKO,Female
8012-SOUDQ,Female
9420-LOJKX,Female
6575-SUVOI,Female
7495-OOKFY,Female
4667-QONEA,Female
1658-BYGOY,Male
8769-KKTPH,Female
5067-XJQFU,Male
3957-SQXML,Female
5954-BDFSG,Female
0434-CSFON,Female
1215-FIGMP,Male
0526-SXDJP,Male
0557-ASKVU,Female
5698-BQJOH,Female
5122-CYFXA,Female
8627-ZYGSZ,Male
3410-YOQBQ,Female
3170-NMYVV,Female
7410-OIEDU,Male
2273-QCKXA,Male
0731-EBJQB,Female
1891-QRQSA,Male
8028-PNXHQ,Male
5630-AHZIL,Female
2673-CXQEU,Female
6416-JNVRK,Female
5590-ZSKRV,Female
0191-ZHSKZ,Male
3887-PBQAO,Female
5919-TMRGD,Female
8108-UXRQN,Female
9191-MYQKX,Female
9919-YLNNG,Female
0318-ZOPWS,Female
4445-ZJNMU,Male
4808-YNLEU,Female
1862-QRWPE,Female
2796-NNUFI,Female
3016-KSVCP,Male
4767-HZZHQ,Male
2424-WVHPL,Male
7233-PAHHL,Male
6067-NGCEU,Female
9848-JQJTX,Male
8637-XJIVR,Female
9803-FTJCG,Male
0278-YXOOG,Male
3212-KXOCR,Male
4598-XLKNJ,Female
6380-ARCEH,Male
3679-XASPY,Female
7123-WQUHX,Male
5386-THSLQ,Female
3192-NQECA,Male
6180-YBIQI,Male
6728-DKUCO,Female
9750-BOOHV,Female
8597-CWYHH,Male
2848-YXSMW,Male
0486-HECZI,Male
4549-ZDQYY,Female
5712-AHQNN,Female
4846-WHAFZ,Female
5256-SKJGO,Female
3071-VBYPO,Male
9560-BBZXK,Female
5299-RULOA,Female
8402-OOOHJ,Female
9445-ZUEQE,Male
1091-SOZGA,Female
2928-HLDBA,Female
0404-SWRVG,Male
6497-TILVL,Female
7219-TLZHO,Female
4622-YNKIJ,Male
4412-YLTKF,Female
6734-PSBAW,Male
3930-ZGWVE,Male
2639-UGMAZ,Male
2876-GZYZC,Female
6207-WIOLX,Female
8587-XYZSF,Male
3091-FYHKI,Male
2372-HWUHI,Male
7799-LGRDP,Female
7850-VWJUU,Female
3774-VBNXY,Female
6217-KDYWC,Male
0390-DCFDQ,Female
3146-MSEGF,Female
4080-OGPJL,Female
1095-WGNGG,Female
2636-SJDOU,Male
1131-QQZEB,Male
5716-EZXZN,Female
6837-BJYDQ,Male
2135-RXIHG,Male
6440-DKQGE,Male
3466-BYAVD,Male
3780-YVMFA,Female
3874-EQOEP,Male
1679-JRFBR,Female
9073-ZZIAY,Male
3077-RSNTJ,Female
6551-GNYDG,Female
9167-APMXZ,Female
2749-CTKAJ,Male
6371-NZYEG,Male
7554-NEWDD,Male
8992-VONJD,Female
0867-MKZVY,Female
4482-EWFMI,Female
4648-YPBTM,Male
2907-ILJBN,Female
6345-FZOQH,Male
3376-BMGFE,Female
5997-OPVFA,Male
3445-HXXGF,Male
1159-WFSGR,Female
7654-YWJUF,Male
1875-QIVME,Female
6727-IOTLZ,Male
0691-JVSYA,Female
5918-VUKWP,Female
1744-JHKYS,Female
2656-FMOKZ,Female
2070-FNEXE,Female
5947-SGKCL,Female
3712-PKXZA,Male
6317-YPKDH,Female
6582-OIVSP,Female
9367-WXLCH,Male
5524-KHNJP,Male
1918-ZBFQJ,Female
1024-GUALD,Female
4827-USJHP,Male
8167-GJLRN,Male
0956-SYCWG,Female
8017-UVSZU,Female
7100-FQPRV,Male
2472-OVKUP,Male
2984-RGEYA,Female
9680-NIAUV,Female
2146-EGVDT,Male
2604-IJPDU,Female
9178-JHUVJ,Male
6168-YBYNP,Male
7255-SSFBC,Male
3645-DEYGF,Male
9323-HGFWY,Female
8544-GOQSH,Female
3363-DTIVD,Male
7018-WBJNK,Male
9142-KZXOP,Male
7674-YTAFD,Female
6348-SNFUS,Male
1285-OKIPP,Male
7825-ECJRF,Female
1347-KTTTA,Male
7841-TZDMQ,Male
4195-NZGTA,Female
7157-SMCFK,Male
4709-LKHYG,Female
2504-DSHIH,Male
0699-NDKJM,Female
9286-BHDQG,Male
0230-WEQUW,Male
2040-LDIWQ,Male
6496-JDSSB,Female
9408-SSNVZ,Female
4443-EMBNA,Female
6469-MRVET,Male
0742-MOABM,Male
5961-VUSRV,Female
6778-JFCMK,Male
6341-JVQGF,Female
2232-DMLXU,Female
4811-JBUVU,Male
0945-TSONX,Female
2651-ZCBXV,Male
3316-UWXUY,Male
8937-RDTHP,Male
7083-MIOPC,Female
1984-GPTEH,Female
1251-KRREG,Male
0621-JFHOL,Female
9903-LYSAB,Male
0094-OIFMO,Female
9227-UAQFT,Male
7301-ABVAD,Female
6614-FHDBO,Male
7576-ASEJU,Female
9058-HRZSV,Female
4522-AKYLR,Female
0221-WMXNQ,Male
0303-UNCIP,Male
9947-OTFQU,Male
0322-YINQP,Male
0959-WHOKV,Male
4075-JFPGR,Female
4629-NRXKX,Female
9514-JDSKI,Male
3282-ZISZV,Male
3675-YDUPJ,Male
4111-BNXIF,Female
7017-VFHAY,Female
6655-LHBYW,Male
4959-JOSRX,Female
5046-NUHWD,Female
7273-TEFQD,Male
3606-TWKGI,Male
7529-ZDFXI,Male
7605-BDWDC,Female
1950-KSVVJ,Female
0123-CRBRT,Female
6292-TOSSS,Male
3197-ARFOY,Female
6323-AYBRX,Male
7014-ZZXAW,Female
4385-GZQXV,Female
7633-MVPUY,Male
6366-ZGQGL,Male
4716-HHKQH,Male
5940-AHUHD,Male
6432-TWQLB,Male
4484-GLZOU,Female
3179-GBRWV,Male
8645-KWHJO,Male
4130-MZLCC,Female
0314-TKOSI,Female
8229-MYEJZ,Female
2080-SRCDE,Female
9577-WJVCQ,Female
9512-UIBFX,Male
6202-DYYFX,Female
