,MonthlyCharges,TotalCharges,Churn
0,29.85,29.85,No
1,56.95,1889.5,No
2,53.85,108.15,Yes
3,42.3,1840.75,No
4,70.7,151.65,Yes
5,99.65,820.5,Yes
6,89.1,1949.4,No
7,29.75,301.9,No
8,104.8,3046.05,Yes
9,56.15,3487.95,No
10,49.95,587.45,No
11,18.95,326.8,No
12,100.35,5681.1,No
13,103.7,5036.3,Yes
14,105.5,2686.05,No
15,113.25,7895.15,No
16,20.65,1022.95,No
17,106.7,7382.25,No
18,55.2,528.35,Yes
19,90.05,1862.9,No
20,39.65,39.65,Yes
21,19.8,202.25,No
22,20.15,20.15,Yes
23,59.9,3505.1,No
24,59.6,2970.3,No
25,55.3,1530.6,No
26,99.35,4749.15,Yes
27,30.2,30.2,Yes
28,90.25,6369.45,No
29,64.7,1093.1,Yes
30,96.35,6766.95,No
31,95.5,181.65,No
32,66.15,1874.45,No
33,20.2,20.2,No
34,45.25,45.25,No
35,99.9,7251.7,No
36,69.7,316.9,Yes
37,74.8,3548.3,No
38,106.35,3549.25,Yes
39,97.85,1105.4,Yes
40,49.55,475.7,No
41,69.2,4872.35,No
42,20.75,418.25,No
43,79.85,4861.45,No
44,76.2,981.45,No
45,84.5,3906.7,No
46,49.25,97,No
47,80.65,144.15,Yes
48,79.75,4217.8,No
49,64.15,4254.1,No
50,90.25,3838.75,No
51,99.1,1426.4,Yes
52,69.5,1752.65,No
53,80.65,633.3,Yes
54,74.85,4456.35,No
55,95.45,1752.55,Yes
56,99.65,6311.2,No
57,108.45,7076.35,No
58,24.95,894.3,No
59,107.5,7853.7,No
60,100.5,4707.1,No
61,89.9,5450.7,No
62,42.1,2962,No
63,54.4,957.1,No
64,94.4,857.25,Yes
65,75.3,244.1,No
66,78.9,3650.35,No
67,79.2,2497.2,No
68,20.15,930.9,No
69,79.85,887.35,No
70,49.05,49.05,No
71,20.4,1090.65,No
72,111.6,7099,No
73,24.25,1424.6,No
74,64.5,177.4,No
75,110.5,6139.5,No
76,55.65,2688.85,No
77,54.65,482.25,No
78,74.75,2111.3,No
79,25.9,1216.6,No
80,79.35,79.35,Yes
81,50.55,565.35,No
82,75.15,496.9,Yes
83,103.8,4327.5,No
84,20.15,973.35,No
85,99.3,918.75,No
86,62.15,2215.45,No
87,20.65,1057,No
88,19.95,927.1,No
89,33.75,1009.25,No
90,82.05,2570.2,No
91,74.7,74.7,No
92,84.0,5714.25,No
93,111.05,7107,No
94,100.9,7459.05,No
95,78.95,927.35,Yes
96,66.85,4748.7,No
97,21.05,113.85,Yes
98,21.0,1107.2,No
99,98.5,2514.5,Yes
100,20.2,20.2,No
101,19.45,19.45,No
102,95.0,3605.6,No
103,45.55,3027.25,No
104,110.0,7611.85,Yes
105,24.3,100.2,No
106,104.15,7303.05,No
107,30.15,927.65,No
108,94.35,3921.3,No
109,19.4,1363.25,No
110,96.75,5238.9,Yes
111,57.95,3042.25,No
112,91.65,3954.1,No
113,76.5,2868.15,Yes
114,54.6,3423.5,No
115,89.85,248.4,No
116,31.05,1126.35,No
117,100.25,1064.65,Yes
118,20.65,835.15,No
119,85.2,2151.6,No
120,99.8,5515.45,No
121,20.7,112.75,No
122,74.4,229.55,Yes
123,50.7,350.35,No
124,20.85,62.9,No
125,88.95,3027.65,No
126,78.05,2135.5,Yes
127,23.55,1723.95,No
128,19.75,19.75,No
129,56.45,3985.35,No
130,85.95,1215.65,No
131,58.6,1502.65,Yes
132,50.55,3260.1,No
133,35.45,35.45,Yes
134,44.35,81.25,Yes
135,25.7,1188.2,No
136,75.0,1778.5,No
137,20.2,1277.75,No
138,19.6,1170.55,No
139,70.45,70.45,Yes
140,88.05,6425.65,No
141,71.15,563.65,Yes
142,101.05,5971.25,No
143,84.3,5289.05,No
144,23.95,1756.2,No
145,99.05,6416.7,No
146,19.6,61.35,No
147,45.65,45.65,Yes
148,64.5,1929.95,No
149,69.5,1071.4,No
150,68.55,564.35,No
151,95.0,655.5,Yes
152,108.15,7930.55,No
153,86.1,5215.25,No
154,19.7,113.5,No
155,80.9,1152.8,No
156,84.15,1821.95,No
157,20.15,419.9,No
158,64.25,1024,No
159,25.7,251.6,No
160,56.0,764.55,No
161,82.4,1592.35,Yes
162,69.7,135.2,No
163,73.9,3958.25,No
164,20.6,233.9,No
165,19.9,1363.45,No
166,70.9,273,Yes
167,89.05,6254.45,No
168,45.3,2651.2,Yes
169,20.4,321.4,No
170,84.25,3539.25,No
171,104.4,242.8,Yes
172,81.95,1181.75,No
173,94.85,5000.2,Yes
174,20.55,654.55,No
175,24.7,780.2,No
176,74.45,1145.7,Yes
177,76.45,503.6,Yes
178,105.35,1559.25,No
179,20.55,1252,No
180,29.95,29.95,Yes
181,45.3,45.3,No
182,84.5,662.65,Yes
183,74.75,2453.3,No
184,79.25,1111.65,Yes
185,24.8,24.8,Yes
186,51.8,1023.85,No
187,30.4,82.15,No
188,19.65,244.8,No
189,56.6,2379.1,No
190,71.9,3173.35,No
191,91.0,531,Yes
192,19.75,1375.4,No
193,109.7,8129.3,No
194,19.3,1192.7,No
195,96.55,1901.65,No
196,24.1,587.4,No
197,111.35,6519.75,No
198,112.25,8041.65,No
199,20.75,20.75,No
200,101.9,2681.15,No
201,80.05,1112.3,No
202,105.55,7405.5,No
203,78.3,1033.95,No
204,68.85,2958.95,No
205,79.95,2684.85,No
206,55.45,4179.2,No
207,79.9,79.9,Yes
208,106.6,1934.45,Yes
209,102.45,6654.1,No
210,46.0,84.5,Yes
211,25.25,25.25,No
212,19.75,1124.2,No
213,20.0,540.05,No
214,86.8,1975.85,No
215,58.75,3437.45,No
216,45.25,3139.8,No
217,56.6,3789.2,No
218,84.2,5324.5,No
219,80.0,624.6,No
220,70.15,268.35,Yes
221,24.75,1836.9,No
222,20.2,20.2,No
223,50.05,179.35,Yes
224,19.35,219.35,No
225,50.6,1288.75,No
226,81.15,2545.75,No
227,55.2,55.2,Yes
228,89.9,2723.15,No
229,85.3,4107.25,No
230,108.0,5760.65,No
231,93.5,4747.5,No
232,84.6,84.6,Yes
233,20.25,1566.9,No
234,25.15,702,No
235,54.4,114.1,Yes
236,29.6,299.05,No
237,73.15,1305.95,No
238,95.0,1120.3,Yes
239,19.75,284.35,No
240,86.6,6350.5,No
241,109.2,7878.3,No
242,74.7,3187.65,No
243,94.4,6126.15,No
244,54.8,731.3,No
245,75.35,273.4,No
246,65.0,2531.8,No
247,74.4,1074.3,Yes
248,48.55,48.55,Yes
249,99.0,4298.45,No
250,93.5,4619.55,No
251,70.4,147.15,Yes
252,40.2,40.2,Yes
253,83.7,2633.3,No
254,19.85,193.05,No
255,59.55,4103.9,No
256,115.1,7008.15,No
257,114.35,5791.1,No
258,44.6,80.55,Yes
259,45.0,1228.65,No
260,41.15,132.2,Yes
261,106.9,1364.3,Yes
262,89.85,4925.35,No
263,49.85,1520.1,No
264,113.3,5032.25,No
265,88.1,5526.75,No
266,24.9,1195.25,No
267,105.0,2007.25,No
268,19.35,1099.6,Yes
269,24.25,1732.95,No
270,94.45,1511.2,Yes
271,59.75,3450.15,No
272,24.8,24.8,Yes
273,107.05,2172.05,No
