,customerID,gender
0,7590-VHVEG,Female
1,5575-GNVDE,Male
2,3668-QPYBK,Male
3,7795-CFOCW,Male
4,9237-HQITU,Female
5,9305-CDSKC,Female
6,1452-KIOVK,Male
7,6713-OKOMC,Female
8,7892-POOKP,Female
9,6388-TABGU,Male
10,9763-GRSKD,Male
11,7469-LKBCI,Male
12,8091-TTVAX,Male
13,0280-XJGEX,Male
14,5129-JLPIS,Male
15,3655-SNQYZ,Female
16,8191-XWSZG,Female
17,9959-WOFKT,Male
18,4190-MFLUW,Female
19,4183-MYFRB,Female
20,8779-QRDMV,Male
21,1680-VDCWW,Male
22,1066-JKSGK,Male
23,3638-WEABW,Female
24,6322-HRPFA,Male
25,6865-JZNKO,Female
26,6467-CHFZW,Male
27,8665-UTDHZ,Male
28,5248-YGIJN,Male
29,8773-HHUOZ,Female
30,3841-NFECX,Female
31,4929-XIHVW,Male
32,6827-IEAUQ,Female
33,7310-EGVHZ,Male
34,3413-BMNZE,Male
35,6234-RAAPL,Female
36,6047-YHPVI,Male
37,6572-ADKRS,Female
38,5380-WJKOV,Male
39,8168-UQWWF,Female
40,8865-TNMNX,Male
41,9489-DEDVP,Female
42,9867-JCZSP,Female
43,4671-VJLCL,Female
44,4080-IIARD,Female
45,3714-NTNFO,Female
46,5948-UJZLF,Male
47,7760-OYPDY,Female
48,7639-LIAYI,Male
49,2954-PIBKO,Female
50,8012-SOUDQ,Female
51,9420-LOJKX,Female
52,6575-SUVOI,Female
53,7495-OOKFY,Female
54,4667-QONEA,Female
55,1658-BYGOY,Male
56,8769-KKTPH,Female
57,5067-XJQFU,Male
58,3957-SQXML,Female
59,5954-BDFSG,Female
60,0434-CSFON,Female
61,1215-FIGMP,Male
62,0526-SXDJP,Male
63,0557-ASKVU,Female
64,5698-BQJOH,Female
65,5122-CYFXA,Female
66,8627-ZYGSZ,Male
67,3410-YOQBQ,Female
68,3170-NMYVV,Female
69,7410-OIEDU,Male
70,2273-QCKXA,Male
71,0731-EBJQB,Female
72,1891-QRQSA,Male
73,8028-PNXHQ,Male
74,5630-AHZIL,Female
75,2673-CXQEU,Female
76,6416-JNVRK,Female
77,5590-ZSKRV,Female
78,0191-ZHSKZ,Male
79,3887-PBQAO,Female
80,5919-TMRGD,Female
81,8108-UXRQN,Female
82,9191-MYQKX,Female
83,9919-YLNNG,Female
84,0318-ZOPWS,Female
85,4445-ZJNMU,Male
86,4808-YNLEU,Female
87,1862-QRWPE,Female
88,2796-NNUFI,Female
89,3016-KSVCP,Male
90,4767-HZZHQ,Male
91,2424-WVHPL,Male
92,7233-PAHHL,Male
93,6067-NGCEU,Female
94,9848-JQJTX,Male
95,8637-XJIVR,Female
96,9803-FTJCG,Male
97,0278-YXOOG,Male
98,3212-KXOCR,Male
99,4598-XLKNJ,Female
100,6380-ARCEH,Male
101,3679-XASPY,Female
102,7123-WQUHX,Male
103,5386-THSLQ,Female
104,3192-NQECA,Male
105,6180-YBIQI,Male
106,6728-DKUCO,Female
107,9750-BOOHV,Female
108,8597-CWYHH,Male
109,2848-YXSMW,Male
110,0486-HECZI,Male
111,4549-ZDQYY,Female
112,5712-AHQNN,Female
113,4846-WHAFZ,Female
114,5256-SKJGO,Female
115,3071-VBYPO,Male
116,9560-BBZXK,Female
117,5299-RULOA,Female
118,8402-OOOHJ,Female
119,9445-ZUEQE,Male
120,1091-SOZGA,Female
121,2928-HLDBA,Female
122,0404-SWRVG,Male
123,6497-TILVL,Female
124,7219-TLZHO,Female
125,4622-YNKIJ,Male
126,4412-YLTKF,Female
127,6734-PSBAW,Male
